hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
8096024,1,2,65619,MO,26,4,1
2005826,1,2,60089,IL,27,2,1
8030962,1,2,89440,NV,23,2,1
9161444,1,2,35674,AL,11,2,1
8078027,1,2,22824,VA,17,2,7
8022250,1,2,63031,MO,26,1,1
8093837,1,2,95621,CA,16,1,1
8047697,1,2,28211,NC,21,2,1
9003288,1,2,10304,NY,26,2,1
9163597,1,2,78660,TX,27,1,1
8061385,1,2,14223,NY,26,3,1
9003582,1,2,43202,OH,16,1,5
2085698,1,2,78611,TX,16,2,1
4121640,3,2,80237,CO,27,2,6
2087003,1,2,30721,GA,16,4,1
8059991,1,2,14616,NY,3,1,1
2011625,1,2,49684,MI,18,2,1
8019950,1,2,80745,CO,11,2,1
2084199,1,2,78664,TX,21,2,1
9064740,1,2,1938,MA,11,3,1
8233295,1,2,77514,TX,10,1,7
2068962,1,2,34292,FL,16,2,1
2078758,1,2,78660,TX,18,1,1
8046253,1,2,28602,NC,11,2,1
8095802,1,2,33161,FL,26,4,1
8066108,1,2,98273,WA,10,2,3
8277265,4,1,81082,CO,26,4,1
8292156,4,1,78574,TX,18,3,1
2004946,1,2,21740,MD,21,2,7
9062977,1,2,74604,OK,10,2,1
2005093,1,2,60002,IL,21,2,1
8126270,1,2,65560,MO,18,3,1
8255559,1,2,74964,OK,19,2,1
8251651,1,2,72712,AR,23,2,1
8023418,1,2,85033,AZ,26,2,1
8251159,1,2,40213,KY,19,1,1
8251525,1,2,40744,KY,23,4,1
8123337,1,2,43015,OH,26,2,1
8249727,1,2,42262,KY,26,4,1
8154944,1,2,33189,FL,16,2,1
8207954,1,2,95204,CA,19,1,3
8209915,1,2,2128,MA,6,3,5
8096032,1,2,33411,FL,11,2,2
8098412,1,2,55316,MN,27,4,1
8162652,1,2,33179,FL,26,2,1
8169273,1,2,85643,AZ,11,2,1
8142657,1,2,32311,FL,17,2,1
2000818,1,2,46236,IN,13,1,1
8140520,1,2,32080,FL,23,2,1
8243199,1,2,40291,KY,23,2,1
9071386,1,2,27863,NC,16,2,7
2081327,1,2,78214,TX,16,2,1
8099399,4,1,33407,FL,21,3,5
8078372,1,2,52761,IA,27,1,3
8066514,1,2,98406,WA,23,1,5
8066881,1,2,14450,NY,11,2,1
8243746,1,2,76310,TX,19,4,1
8126763,1,2,77351,TX,15,1,1
2036236,4,1,92835,CA,13,2,6
9164909,1,2,13459,NY,15,2,1
8253408,1,2,70094,LA,18,4,1
8083775,1,2,95608,CA,21,2,1
2014532,1,2,50315,IA,19,2,1
8280608,1,2,2148,MA,15,1,1
2056934,1,2,17022,PA,19,1,1
8113780,2,2,19050,PA,26,4,1
8110654,1,2,77070,TX,26,1,1
2080092,1,2,78212,TX,10,1,1
8090702,1,2,95825,CA,10,1,5
8278747,1,2,53901,WI,10,2,1
8093073,1,2,2492,MA,26,3,1
8085596,1,2,95610,CA,8,2,5
2094084,1,2,18066,PA,18,2,7
8071446,1,1,98007,WA,26,1,5
9093277,1,2,1879,MA,23,3,1
9176025,1,2,99202,WA,4,1,1
9062713,1,2,33880,FL,21,3,1
9158272,1,2,27298,NC,17,2,5
9005200,1,2,18042,PA,23,2,1
8198851,1,2,75126,TX,26,4,1
2014769,1,2,78758,TX,18,2,1
2001320,1,2,15748,PA,21,4,1
8182085,3,2,78245,TX,17,2,1
8154666,1,2,1540,MA,18,1,6
8292365,4,1,3062,NH,21,4,1
9170483,1,2,56271,MN,23,3,1
9167341,1,2,94040,CA,10,1,1
9088253,1,2,91780,CA,15,1,1
8217508,1,2,40505,KY,15,1,1
2067149,1,2,17042,PA,18,2,1
8113958,1,2,29617,SC,21,2,1
2013148,1,2,90249,CA,27,1,6
2081765,1,2,11209,NY,18,2,3
8095641,1,2,28226,NC,21,5,1